InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26,2.75,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34,2.10,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34,2.10,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34,4.25,13047,France
536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34,4.95,13047,France
536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35,5.95,13047,Germany
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01 08:45,3.75,12583,France
536371,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 09:00,0.85,13748,United Kingdom
536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01,1.85,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 09:57,2.55,17850,United Kingdom
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-02 10:02,10.95,15100,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-03 10:32,2.55,17850,Germany
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2011-01-05 10:00,3.95,14688,United Kingdom
536377,22112,CHOCOLATE HOT WATER BOTTLE,4,2011-01-05 10:03,4.95,14688,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2011-02-10 12:15,0.42,12433,Norway
536379,20725,LUNCH BAG RED RETROSPOT,10,2011-02-10 12:20,1.65,12433,Norway
536380,20727,LUNCH BAG BLACK SKULL,10,2011-03-15 14:05,1.65,17850,United Kingdom
536381,21931,JUMBO STORAGE BAG SUKI,10,2011-03-15 14:10,1.95,15100,United Kingdom
536382,22423,REGENCY CAKESTAND 3 TIER,4,2011-04-20 09:12,12.75,13047,France
536383,22423,REGENCY CAKESTAND 3 TIER,2,2011-05-22 11:45,12.75,,EIRE
536384,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-06-18 15:30,1.25,14911,United Kingdom
536385,85099B,JUMBO BAG RED RETROSPOT,10,2011-07-14 16:00,1.95,14911,United Kingdom
